,相談年月日,相談区分,対応言語名,相談概要,相談方法,,
1,2025/4/1,その他,スペイン語,子供の面会,電話,,
2,2025/4/1,その他,スペイン語,法律相談,電話,,
3,2025/4/1,住宅,ポルトガル語,ソーラーパネルについて,電話,,
4,2025/4/1,その他,スペイン語,生活困窮,E-Mail,,
5,2025/4/1,その他,ポルトガル語,携帯会社や自動車ローンでの住所変更届,電話,,
6,2025/4/2,教育全般,ポルトガル語,通学費について,電話,,
7,2025/4/2,その他,"日本語
（ベトナム）",ベトナム語通訳の依頼,電話,,
8,2025/4/2,その他,ポルトガル語,人種差別について,電話,,
9,2025/4/2,入管手続,スペイン語,ビザの更新について,来所,,
10,2025/4/3,その他,"日本語
（ベトナム）",ベトナム語の相談,電話,,
11,2025/4/3,税金,ポルトガル語,税務署の所在地について,電話,,
12,2025/4/3,雇労（その他）,ポルトガル語,職場での待遇について,電話,,
13,2025/4/3,社会保険,ポルトガル語,傷病手当について,電話,,
14,2025/4/3,雇労（その他）,ポルトガル語,労働契約について,電話,,
15,2025/4/4,住宅,"日本語
（ブラジル）",自治会からの相談,電話,,
16,2025/4/4,求職・雇用,"日本語
（その他）",友人の相談,電話,,
17,2025/4/7,その他,ポルトガル語,ゴミ出しについて,E-Mail,,
18,2025/4/7,入管手続,"日本語
（フィリピン）",在留資格更新について,電話,,
19,2025/4/7,雇労（その他）,スペイン語,給料未払いについて,電話,,
20,2025/4/7,税金,"日本語
（ペルー）",税金の相談について,電話,,
21,2025/4/8,その他,ポルトガル語,文房具の説明,電話,,
22,2025/4/8,教育全般,日本語（ブラジル）,高校のタブレット代金,電話,,
23,2025/4/8,入管手続,タガログ語,在留資格更新許可について,来所,,
24,2025/4/8,その他,ポルトガル語,障害福祉手当について,電話,,
25,2025/4/8,教育全般,スペイン語,学校の規則について,電話,,
26,2025/4/8,社会保険,ポルトガル語,社会保険料の日割り計算について,電話,,
27,2025/4/8,その他,ポルトガル語,電気代の支払期限日について,電話,,
28,2025/4/8,その他,ポルトガル語,水道水の支払伝票について,電話,,
29,2025/4/8,求職・雇用,ポルトガル語,有休について,電話,,
30,2025/4/9,教育全般,"日本語
（ブラジル）",新年度について,電話,,
31,2025/4/9,出産・子育て全般,英語,予約時間の変更依頼,電話,,
32,2025/4/9,その他,ポルトガル語,支払の期限について,電話,,
33,2025/4/10,その他,英語,ガスの使用再開手続き,電話,,
34,2025/4/10,医療,英語,英語のできる医療機関,E-Mail,,
35,2025/4/10,その他,英語,生活支援,来所,,
36,2025/4/10,教育全般,英語,高校の奨学制度について,電話,,
37,2025/4/10,その他,ポルトガル語,サッカー教室など,電話,,
38,2025/4/11,教育全般,ポルトガル語,学校書類の記入,来所,,
39,2025/4/11,医療,ポルトガル語,バセドー病の医療費支援,電話,,
40,2025/4/11,入管手続,ポルトガル語,再入国許可について,電話,,
41,2025/4/11,結婚・離婚,ポルトガル語,弁護士相談について,電話,,
42,2025/4/11,入管手続,日本語（その他）,子ども在留資格について,電話,,
43,2025/4/11,結婚・離婚,タガログ語,外国での離婚の公式承認,電話,,
44,2025/4/11,税金,タガログ語,低所得世帯に関する問い合わせ,電話,,
45,2025/4/11,通訳・翻訳,タガログ語,書類の翻訳について,電話,,
46,2025/4/11,教育全般,タガログ語,奨学金の返済について,電話,,
47,2025/4/14,出産・子育て全般,日本語（その他）,保護者への文書翻訳,電話,,
48,2025/4/14,医療,"日本語
（ベトナム）",HIV検査について,E-Mail,,
49,2025/4/14,出産・子育て全般,ベトナム語,検診の担当者の変更について,電話,,
50,2025/4/14,教育全般,タガログ語,大学の授業料が無料についての情報,電話,,
51,2025/4/14,教育全般,タガログ語,高等学校等就学支援金制度について,電話,,
52,2025/4/14,税金,タガログ語,税金についての情報,電話,,
53,2025/4/14,入管手続,タガログ語,在留資格について,電話,,
54,2025/4/14,入管手続,日本語（日本）,在留資格更新のオンライン申請について,電話,,
55,2025/4/14,その他,"日本語
（インドネシア）",当センターのインドネシア語対応について,電話,,
56,2025/4/14,その他,ポルトガル語,社会福祉協会と相談したい,電話,,
57,2025/4/14,その他,"日本語
（インドネシア）",プロテスタント教会について,電話,,
58,2025/4/15,その他,ポルトガル語,支払い内容,電話,,
59,2025/4/15,その他,タガログ語,ワイモバイルスタッフに説明してほしい,電話,,
60,2025/4/15,入管手続,タガログ語,入管からの電話について,電話,,
61,2025/4/15,その他,タガログ語,家族のトラブル,電話,,
62,2025/4/15,その他,ポルトガル語,SNSの被害,電話,,
63,2025/4/15,その他,ポルトガル語,借金返済のためのローン,E-Mail,,
64,2025/4/15,その他,ポルトガル語,引きこもりを支援する団体,E-Mail,,
65,2025/4/15,その他,ポルトガル語,業務の拡大,電話,,
66,2025/4/15,通訳・翻訳,ポルトガル語,警察での説明,電話,,
67,2025/4/16,税金,スペイン語,税金の支払い,電話,,
68,2025/4/16,社会保険,ポルトガル語,傷病手当の入金,電話,,
69,2025/4/16,その他,ポルトガル語,水道料金の支払い,電話,,
70,2025/4/16,交通・運転免許,ポルトガル語,自動車学校について,電話,,
71,2025/4/16,教育全般,ポルトガル語,保育士資格について,電話,,
72,2025/4/16,医療,ポルトガル語,うつ病のためカウンセリングについて,電話,,
73,2025/4/16,その他,タガログ語,保証人について,電話,,
74,2025/4/16,ＤＶ,タガログ語,娘はDV被害者じゃないか？,電話,,
