,相談年月日,相談区分,対応言語名,相談概要,相談方法
1,2025/10/1,年金,ポルトガル語,障害年金について,電話
2,2025/10/1,社会保険,ポルトガル語,傷病手当金申請について,電話
3,2025/10/1,医療,ポルトガル語,診療内科について,E-Mail
4,2025/10/1,その他,ポルトガル語,名古屋国際協会について,電話
5,2025/10/1,その他,日本語（カンボジア）,特定技能について,電話
6,2025/10/1,教育全般,ポルトガル語,「死ね」と書かれた折り紙について,電話
7,2025/10/2,求職・雇用,ポルトガル語,給料明細について,電話
8,2025/10/2,社会保険,ポルトガル語,社会保険の喪失と扶養について,電話
9,2025/10/2,雇労（その他）,ポルトガル語,休業手当について,電話
10,2025/10/2,入管手続,ポルトガル語,在留資格取得について,E-Mail
11,2025/10/2,雇労（その他）,英語,雇用契約について,電話
12,2025/10/2,社会保険,ポルトガル語,健康保険が無効とされている,電話
13,2025/10/2,年金,スペイン語,年金手帳について,電話
14,2025/10/2,労災,スペイン語,労災申請をしなかったことを後悔している,電話
15,2025/10/2,医療,ポルトガル語,治療等について,電話
16,2025/10/3,通訳・翻訳,日本語（その他）,結婚証明書の翻訳,電話
17,2025/10/3,社会保険,ポルトガル語,傷病手当の給付,電話
18,2025/10/3,税金,ポルトガル語,自動車税について,電話
19,2025/10/3,その他,スペイン語,粗大ゴミについて,電話
20,2025/10/3,結婚・離婚,タガログ語,離婚について,電話
21,2025/10/6,入管手続,タガログ語,永住の申込書について,電話
22,2025/10/6,その他,タガログ語,国勢調査のアンケートについて,来所
23,2025/10/6,結婚・離婚,タガログ語,夫婦の問題,来所
24,2025/10/6,住宅,タガログ語,住所を変更しないことについて,来所
25,2025/10/6,日本語学習,タガログ語,日本語レッスンについて,来所
26,2025/10/6,出産・子育て全般,タガログ語,息子さんの思春期の悩み相談,来所
27,2025/10/6,その他,日本語（ブラジル）,国勢調査の記入の手伝い,来所
28,2025/10/6,教育全般,日本語（ブラジル）,保護者への通訳について,電話
29,2025/10/6,入管手続,ポルトガル語,ビザの更新について,電話
30,2025/10/6,教育全般,ポルトガル語,職場体験について,電話
31,2025/10/6,教育全般,日本語（ブラジル）,進路相談について,電話
32,2025/10/6,その他,ポルトガル語,国勢調査について,電話
33,2025/10/6,労災,スペイン語,労災への切り替えについて,電話
34,2025/10/6,交通・運転免許,スペイン語,事故後について,電話
35,2025/10/7,雇労（その他）,ポルトガル語,会社からの振込金の扱い,電話
36,2025/10/7,その他,日本語（ブラジル）,障害者手帳の申請について,電話
37,2025/10/7,その他,日本語（日本）,確認と結果の報告,電話
38,2025/10/7,日本語学習,タガログ語,日本語レッスンについて,来所
39,2025/10/7,医療,ポルトガル語,痛み止めが効かない,電話
40,2025/10/7,医療,ポルトガル語,転院の希望,電話
41,2025/10/7,結婚・離婚,スペイン語,夫に対する悩みについて,電話
42,2025/10/7,社会保険,スペイン語,社会保険と年金について,電話
43,2025/10/7,その他,スペイン語,日本語での伝え方について,電話
44,2025/10/8,結婚・離婚,英語,弁護士を探したい,E-Mail
45,2025/10/8,医療,ポルトガル語,病院で通訳依頼,電話
46,2025/10/8,交通・運転免許,ポルトガル語,保険会社で手続きについて,電話
47,2025/10/8,求職・雇用,ポルトガル語,保険料について,電話
48,2025/10/8,税金,ポルトガル語,年末調整について　,来所
49,2025/10/8,入管手続,日本語（ブラジル）,在留資格について,電話
50,2025/10/8,交通・運転免許,ポルトガル語,張り紙について,来所
51,2025/10/8,入管手続,タガログ語,学生ビザから就労ビザへの切り替え,電話
52,2025/10/8,求職・雇用,英語,雇用保険,電話
53,2025/10/9,その他,ポルトガル語,通訳依頼,電話
54,2025/10/9,出産・子育て全般,ポルトガル語,育児休業について,E-Mail
55,2025/10/9,雇労（その他）,ポルトガル語,派遣会社とのトラブルについて,電話
56,2025/10/9,結婚・離婚,タガログ語,離婚の申立書,電話
57,2025/10/9,結婚・離婚,英語,弁護士との予約がしたい,E-Mail
