相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/2,入管手続,スペイン語,ビザの更新について,来所,Question04.csv,9
2025/4/7,入管手続,"日本語
（フィリピン）",在留資格更新について,電話,Question04.csv,18
2025/4/8,入管手続,タガログ語,在留資格更新許可について,来所,Question04.csv,23
2025/4/11,入管手続,ポルトガル語,再入国許可について,電話,Question04.csv,40
2025/4/11,入管手続,日本語（その他）,子ども在留資格について,電話,Question04.csv,42
2025/4/14,入管手続,タガログ語,在留資格について,電話,Question04.csv,53
2025/4/14,入管手続,日本語（日本）,在留資格更新のオンライン申請について,電話,Question04.csv,54
2025/4/15,入管手続,タガログ語,入管からの電話について,電話,Question04.csv,60
2025/4/17,入管手続,ポルトガル語,在留資格での身元保証人について,電話,Question04.csv,79
2025/4/18,入管手続,タガログ語,在留資格について,電話,Question04.csv,89
2025/4/21,入管手続,タガログ語,在留資格更新について,来所,Question04.csv,94
2025/4/22,入管手続,タガログ語,在留資格認定証明書,電話,Question04.csv,98
2025/4/25,入管手続,タガログ語,在留資格認定証明書,電話,Question04.csv,122
2025/4/25,入管手続,"日本語
（中国）",中国の方の在留資格の相談,電話,Question04.csv,125
2025/5/2,入管手続,タガログ語,子どもの呼び寄せ,電話,Question05.csv,16
2025/5/2,入管手続,タガログ語,永住ビザについて,電話,Question05.csv,17
2025/5/13,入管手続,スペイン語,在留資格更新,電話,Question05.csv,46
2025/5/16,入管手続,タガログ語,家族訪問ビザについて,電話,Question05.csv,66
2025/5/21,入管手続,ポルトガル語,不法滞在者の今後について,電話,Question05.csv,84
2025/5/22,入管手続,スペイン語,在留資格の更新について,電話,Question05.csv,89
2025/5/23,入管手続,タガログ語,在留資格について,来所,Question05.csv,99
2025/5/26,入管手続,タガログ語,通訳の依頼,電話,Question05.csv,104
2025/5/26,入管手続,タガログ語,在留資格申込書について,電話,Question05.csv,105
2025/5/28,入管手続,ベトナム語,永住申請の書類の確認,E-Mail,Question05.csv,116
2025/5/28,入管手続,タガログ語,日系4世に関するお問い合わせ,E-Mail,Question05.csv,119
