相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/23,年金,ポルトガル語,障害年金について,電話,Question04.csv,111
2025/4/28,年金,スペイン語,国民年金の加入について,電話,Question04.csv,134
2025/5/1,年金,ポルトガル語,脱退一時金について,電話,Question05.csv,3
2025/5/2,年金,タガログ語,年金の支払いについて,電話,Question05.csv,19
2025/5/2,年金,タガログ語,年金受給について,電話,Question05.csv,20
2025/5/7,年金,タガログ語,年金の受け取りの心配,電話,Question05.csv,26
2025/5/7,年金,タガログ語,国民年金と厚生年金の違い,電話,Question05.csv,30
2025/5/13,年金,タガログ語,遺族年金について,電話,Question05.csv,50
2025/6/6,年金,スペイン語,年金受給を増やすことについて,来所,Question06.csv,28
2025/6/6,年金,ポルトガル語,知り合いの年金手続きについて,電話,Question06.csv,30
2025/6/18,年金,ベトナム語,年金保険料の未納について,電話,Question06.csv,80
2025/6/25,年金,日本語（ベトナム）,退職した方を再度採用することについて,電話,Question06.csv,102
2025/6/26,年金,スペイン語,国民年金の請求について,来所,Question06.csv,109
2025/7/4,年金,日本語（ベトナム）,脱退一時金の説明,電話,Question07.csv,15
2025/7/7,年金,ベトナム語,脱退一時金について,E-Mail,Question07.csv,33
2025/7/18,年金,ポルトガル語,国民年金の支払いについて,電話,Question07.csv,92
2025/8/4,年金,日本語（ネパール）,年金についての通訳,電話,Question08.csv,8
2025/8/6,年金,スペイン語,年金の書類について,電話,Question08.csv,12
2025/8/15,年金,タガログ語,年金についての相談,電話,Question08.csv,41
2025/8/25,年金,ポルトガル語,年金事務所での通訳,電話,Question08.csv,70
2025/9/4,年金,ポルトガル語,年金料の請求について,電話,Question09.csv,31
2025/9/9,年金,ポルトガル語,年金多言語対応,電話,Question09.csv,54
2025/9/9,年金,ポルトガル語,年金の手続きについて,電話,Question09.csv,56
2025/9/10,年金,ポルトガル語,給付金について,来所,Question09.csv,61
2025/9/19,年金,タガログ語,年金の支払について,電話,Question09.csv,89
2025/9/30,年金,スペイン語,年金の受給,電話,Question09.csv,121
2025/10/1,年金,ポルトガル語,障害年金について,電話,Question10.csv,1
2025/10/2,年金,スペイン語,年金手帳について,電話,Question10.csv,13
2025/10/15,年金,スペイン語,帰国した場合の年金について,電話,Question10.csv,80
2025/10/28,年金,ポルトガル語,障害年金申請について,電話,Question10.csv,129
2025/10/28,年金,ポルトガル語,年金事務所から届いているハガキについて,電話,Question10.csv,130
2025/10/30,年金,日本語（ブラジル）,年金のハガキ,来所,Question10.csv,149
2025/11/4,年金,ポルトガル語,年金の支払い,電話,Question11.csv,2
2025/11/5,年金,ポルトガル語,年金の免除申請について,電話,Question11.csv,18
2025/11/7,年金,ポルトガル語,障害年金請求,来所,Question11.csv,25
2025/11/10,年金,タガログ語,年金受け取り年齢,電話,Question11.csv,36
2025/11/11,年金,タガログ語,支払った厚生年金の額,電話,Question11.csv,47
2025/11/13,年金,ポルトガル語,彦根年金事務所について,電話,Question11.csv,55
2025/11/13,年金,日本語（ブラジル）,障害年金の相談について,電話,Question11.csv,56
2025/11/19,年金,ポルトガル語,障害年金請求,電話,Question11.csv,83
2025/11/19,年金,タガログ語,年金の通知の内容について,電話,Question11.csv,85
2025/11/25,年金,ポルトガル語,年金について,電話,Question11.csv,111
2025/12/10,年金,タガログ語,年金を現金で受け取ることはできるか,電話,Question12.csv,41
2025/12/11,年金,タガログ語,15日に年金を引き出せるかどうか,電話,Question12.csv,49
2025/12/12,年金,タガログ語,年金振り込まれているかの確認,電話,Question12.csv,55
2025/12/22,年金,ポルトガル語,障害年金申請,電話,Question12.csv,92
2025/12/24,年金,タガログ語,年金の受けとり時期,電話,Question12.csv,109
