相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/2,教育全般,ポルトガル語,通学費について,電話,Question04.csv,6
2025/4/8,教育全般,日本語（ブラジル）,高校のタブレット代金,電話,Question04.csv,22
2025/4/8,教育全般,スペイン語,学校の規則について,電話,Question04.csv,25
2025/4/9,教育全般,"日本語
（ブラジル）",新年度について,電話,Question04.csv,30
2025/4/10,教育全般,英語,高校の奨学制度について,電話,Question04.csv,36
2025/4/11,教育全般,ポルトガル語,学校書類の記入,来所,Question04.csv,38
2025/4/11,教育全般,タガログ語,奨学金の返済について,電話,Question04.csv,46
2025/4/14,教育全般,タガログ語,大学の授業料が無料についての情報,電話,Question04.csv,50
2025/4/14,教育全般,タガログ語,高等学校等就学支援金制度について,電話,Question04.csv,51
2025/4/16,教育全般,ポルトガル語,保育士資格について,電話,Question04.csv,71
2025/4/16,教育全般,タガログ語,高等学校等就学支援金の返済について,電話,Question04.csv,76
2025/4/21,教育全般,"日本語
（ブラジル）",保護者との連絡,電話,Question04.csv,95
2025/4/22,教育全般,"日本語
（ブラジル）",転校生の保護者に連絡,電話,Question04.csv,96
2025/4/23,教育全般,"日本語
（ブラジル）",保護者との連絡,電話,Question04.csv,109
2025/4/28,教育全般,"日本語
（ブラジル）",保護者に連絡したい,電話,Question04.csv,135
2025/4/28,教育全般,"日本語
（ブラジル）",保護者に連絡事項がある,電話,Question04.csv,136
2025/5/2,教育全般,日本語（ブラジル）,保護者に連絡したい,電話,Question05.csv,10
2025/5/2,教育全般,日本語（ブラジル）,帰国に伴う書類作成について,電話,Question05.csv,11
2025/5/9,教育全般,日本語（ブラジル）,生徒の髪の毛について,電話,Question05.csv,37
2025/5/12,教育全般,日本語（ブラジル）,保護者との連絡,電話,Question05.csv,39
2025/5/13,教育全般,中国語,娘の高校進学の相談,来所,Question05.csv,52
2025/5/16,教育全般,タガログ語,奨学金申請について,電話,Question05.csv,64
2025/5/16,教育全般,タガログ語,奨学金オンライン申請について,電話,Question05.csv,65
2025/5/19,教育全般,日本語（ブラジル）,登校予定日の確認,電話,Question05.csv,73
2025/5/22,教育全般,日本語（ブラジル）,生徒について,電話,Question05.csv,88
2025/5/23,教育全般,タガログ語,奨学金について,来所,Question05.csv,98
2025/5/26,教育全般,日本語（ブラジル）,面談について,電話,Question05.csv,108
2025/5/26,教育全般,ポルトガル語,精神不安定について,電話,Question05.csv,109
2025/6/2,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question06.csv,4
2025/6/9,教育全般,日本語（ブラジル）,保護者と話したい,電話,Question06.csv,36
2025/6/11,教育全般,日本語（フィリピン）,海外のオンライン高校への転校について,電話,Question06.csv,40
2025/6/11,教育全般,日本語（ブラジル）,保護者に連絡したい,電話,Question06.csv,41
2025/6/12,教育全般,日本語（ブラジル）,生徒の保護者と話したい,電話,Question06.csv,49
2025/6/13,教育全般,日本語（ブラジル）,保護者に連絡について,電話,Question06.csv,52
2025/6/13,教育全般,日本語（フィリピン）,在校生徒について,電話,Question06.csv,55
2025/6/13,教育全般,タガログ語,奨学金に関する問い合わせ,電話,Question06.csv,60
2025/6/16,教育全般,日本語（フィリピン）,フィリピンのオンラインスクールについて,電話,Question06.csv,62
2025/6/16,教育全般,日本語（ブラジル）,確認事項について,電話,Question06.csv,69
2025/7/18,教育全般,タガログ語,高校生等奨学給付金について,電話,Question07.csv,96
2025/7/31,教育全般,日本語（日本）,高校進学について,電話,Question07.csv,130
2025/8/5,教育全般,タガログ語,高校入学について,電話,Question08.csv,11
2025/8/7,教育全般,ポルトガル語,滋賀県にもらえる新たな書類について,電話,Question08.csv,20
2025/8/20,教育全般,タガログ語,日本の中学校と高校の情報について,電話,Question08.csv,53
2025/9/3,教育全般,日本語（ブラジル）,学校の欠席について,電話,Question09.csv,26
2025/9/8,教育全般,ポルトガル語,高校の成績証明書,電話,Question09.csv,45
2025/9/12,教育全般,タガログ語,教育奨学金について,電話,Question09.csv,74
2025/9/17,教育全般,日本語（ブラジル）,登校について,電話,Question09.csv,81
2025/9/18,教育全般,スペイン語,私立中学,電話,Question09.csv,83
2025/9/22,教育全般,日本語（ブラジル）,保護者への連絡について,電話,Question09.csv,95
2025/9/24,教育全般,日本語（ブラジル）,子どもの様子について,電話,Question09.csv,98
2025/9/29,教育全般,日本語（ブラジル）,保護者への連絡,電話,Question09.csv,116
2025/10/1,教育全般,ポルトガル語,「死ね」と書かれた折り紙について,電話,Question10.csv,6
2025/10/6,教育全般,日本語（ブラジル）,保護者への通訳について,電話,Question10.csv,28
2025/10/6,教育全般,ポルトガル語,職場体験について,電話,Question10.csv,30
2025/10/6,教育全般,日本語（ブラジル）,進路相談について,電話,Question10.csv,31
2025/10/14,教育全般,ポルトガル語,子どものオンライン英語教室,E-Mail,Question10.csv,69
2025/10/15,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question10.csv,84
2025/10/17,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question10.csv,89
2025/10/20,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question10.csv,95
2025/10/21,教育全般,ポルトガル語,行事の参加について,E-Mail,Question10.csv,98
2025/10/22,教育全般,日本語（ブラジル）,もう一人の先生について,電話,Question10.csv,102
2025/10/23,教育全般,ポルトガル語,作業所の見学について,電話,Question10.csv,107
2025/10/23,教育全般,日本語（ブラジル）,連絡事項について,電話,Question10.csv,108
2025/10/31,教育全般,日本語（ブラジル）,保護者に連絡がとりたい,電話,Question10.csv,154
2025/11/4,教育全般,ポルトガル語,いじめについて,電話,Question11.csv,7
2025/11/4,教育全般,日本語（ブラジル）,進路などについて,電話,Question11.csv,9
2025/11/7,教育全般,ポルトガル語,提出期限について,電話,Question11.csv,31
2025/11/7,教育全般,日本語（ブラジル）,保護者に連絡,電話,Question11.csv,33
2025/11/18,教育全般,日本語（ペルー）,奨学金,電話,Question11.csv,73
2025/11/18,教育全般,タガログ語,教育ローン,電話,Question11.csv,78
2025/11/18,教育全般,日本語（ブラジル）,トラブル後の生徒について,電話,Question11.csv,81
2025/11/21,教育全般,日本語（ネパール）,ネパール人の編入について,電話,Question11.csv,93
2025/11/28,教育全般,ポルトガル語,大学でのトラブル,電話,Question11.csv,137
2025/12/3,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question12.csv,20
2025/12/4,教育全般,ポルトガル語,教員への伝言,E-Mail,Question12.csv,22
2025/12/4,教育全般,日本語（ブラジル）,年内の会議日時について（至急）,電話,Question12.csv,23
2025/12/8,教育全般,日本語（ブラジル）,保護者と話したい,電話,Question12.csv,29
2025/12/8,教育全般,日本語（ブラジル）,進路相談の予定について,電話,Question12.csv,33
2025/12/9,教育全般,ポルトガル語,教育費,電話,Question12.csv,37
2025/12/9,教育全般,日本語（中国）,高校進学について,来所,Question12.csv,38
2025/12/15,教育全般,日本語（ブラジル）,保護者との連絡について,電話,Question12.csv,65
2025/12/23,教育全般,日本語（ブラジル）,保護者への連絡,電話,Question12.csv,99
