相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/24,日本語学習,"日本語
（フィリピン）",草津の日本語教室,電話,Question04.csv,114
2025/5/7,日本語学習,タガログ語,日本語教室,電話,Question05.csv,29
2025/6/3,日本語学習,タガログ語,滋賀県での日本語学習,電話,Question06.csv,9
2025/6/30,日本語学習,日本語（フィリピン）,日本語教室,来所,Question06.csv,116
2025/7/4,日本語学習,英語,日本語を学びたい,来所,Question07.csv,21
2025/7/14,日本語学習,ポルトガル語,日本語を学びたい,来所,Question07.csv,61
2025/8/20,日本語学習,タガログ語,日本語学校について,電話,Question08.csv,55
2025/8/26,日本語学習,ポルトガル語,日本語の学習について,来所,Question08.csv,79
2025/10/6,日本語学習,タガログ語,日本語レッスンについて,来所,Question10.csv,25
2025/10/7,日本語学習,タガログ語,日本語レッスンについて,来所,Question10.csv,38
2025/10/14,日本語学習,英語,子どもの日本語支援について,E-Mail,Question10.csv,71
2025/10/17,日本語学習,日本語（日本）,日本語学習に関して問いあわせの件,電話,Question10.csv,92
2025/10/27,日本語学習,英語,日本語クラスに関する相談,電話,Question10.csv,128
2025/10/30,日本語学習,英語,日本語教室について,電話,Question10.csv,148
2025/11/21,日本語学習,英語,日本語教室の申込み,電話,Question11.csv,101
