相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/4,求職・雇用,"日本語
（その他）",友人の相談,電話,Question04.csv,16
2025/4/8,求職・雇用,ポルトガル語,有休について,電話,Question04.csv,29
2025/4/21,求職・雇用,ポルトガル語,ハローワークの通訳,電話,Question04.csv,93
2025/4/23,求職・雇用,英語,仕事探し,電話,Question04.csv,108
2025/4/30,求職・雇用,ポルトガル語,失業保険について,電話,Question04.csv,139
2025/4/30,求職・雇用,スペイン語,休日出勤について,電話,Question04.csv,142
2025/5/1,求職・雇用,ポルトガル語,派遣会社との通訳について,電話,Question05.csv,2
2025/5/1,求職・雇用,英語,起業について,E-Mail,Question05.csv,5
2025/5/2,求職・雇用,タガログ語,日本で働くことを希望,電話,Question05.csv,18
2025/5/7,求職・雇用,タガログ語,仕事探し,電話,Question05.csv,27
2025/5/7,求職・雇用,タガログ語,仕事場での悩み事,電話,Question05.csv,28
2025/5/12,求職・雇用,ポルトガル語,ゴミ収集の仕事をしたい,E-Mail,Question05.csv,40
2025/5/12,求職・雇用,ポルトガル語,香水の輸入販売をしたい,電話,Question05.csv,41
2025/5/14,求職・雇用,ポルトガル語,事務所さがしについて,電話,Question05.csv,56
2025/5/21,求職・雇用,ポルトガル語,自分の権利について,電話,Question05.csv,80
2025/5/21,求職・雇用,ポルトガル語,退職に伴う社宅費用および退職証明書について,電話,Question05.csv,83
2025/5/22,求職・雇用,日本語（その他）,滋賀県で仕事を探したい,電話,Question05.csv,87
2025/5/26,求職・雇用,ポルトガル語,育児休業期間の有休について,電話,Question05.csv,101
2025/6/4,求職・雇用,スペイン語,契約書について,電話,Question06.csv,12
2025/6/5,求職・雇用,ポルトガル語,仕事探しについて,来所,Question06.csv,23
2025/6/16,求職・雇用,タガログ語,仕事場での悩みと仕事探しについて,来所,Question06.csv,67
2025/6/18,求職・雇用,日本語（ペルー）,就労相談について,電話,Question06.csv,84
2025/6/30,求職・雇用,日本語（フィリピン）,内職を探したい,来所,Question06.csv,124
2025/7/1,求職・雇用,日本語（ネパール）,履歴書を書く支援,電話,Question07.csv,2
2025/7/2,求職・雇用,ポルトガル語,仕事の面接に行く職場について,来所,Question07.csv,6
2025/7/3,求職・雇用,ポルトガル語,結婚する際の休みについて,電話,Question07.csv,12
2025/7/4,求職・雇用,ポルトガル語,履歴書の書き方について,電話,Question07.csv,17
2025/7/4,求職・雇用,英語,英語教師について,来所,Question07.csv,24
2025/7/7,求職・雇用,ポルトガル語,会社の面接,電話,Question07.csv,29
2025/7/7,求職・雇用,タガログ語,仕事探し,電話,Question07.csv,36
2025/7/8,求職・雇用,日本語（その他）,求人ポスターの掲示依頼,E-Mail,Question07.csv,41
2025/7/9,求職・雇用,ポルトガル語,個人事業主について,電話,Question07.csv,46
2025/7/10,求職・雇用,ポルトガル語,起業開業について,電話,Question07.csv,51
2025/7/18,求職・雇用,日本語（ペルー）,求人募集について,電話,Question07.csv,95
2025/7/22,求職・雇用,日本語（ブラジル）,求人について通訳,電話,Question07.csv,98
2025/7/23,求職・雇用,ポルトガル語,面接場所について,電話,Question07.csv,100
2025/7/28,求職・雇用,ポルトガル語,雇用保険について,電話,Question07.csv,109
2025/7/29,求職・雇用,ポルトガル語,面接の準備,電話,Question07.csv,120
2025/8/18,求職・雇用,英語,滋賀での仕事探し,来所,Question08.csv,42
2025/8/29,求職・雇用,インドネシア語,教育訓練,電話,Question08.csv,92
2025/9/8,求職・雇用,タガログ語,仕事探し,電話,Question09.csv,49
2025/9/10,求職・雇用,ネパール語,仕事探し,電話,Question09.csv,64
2025/9/19,求職・雇用,ポルトガル語,内職について,電話,Question09.csv,85
2025/9/26,求職・雇用,ポルトガル語,給料支払いについて,電話,Question09.csv,108
2025/9/29,求職・雇用,ポルトガル語,給与明細について,電話,Question09.csv,118
2025/9/30,求職・雇用,ポルトガル語,給料明細について,来所,Question09.csv,125
2025/10/2,求職・雇用,ポルトガル語,給料明細について,電話,Question10.csv,7
2025/10/8,求職・雇用,ポルトガル語,保険料について,電話,Question10.csv,47
2025/10/8,求職・雇用,英語,雇用保険,電話,Question10.csv,52
2025/10/10,求職・雇用,ポルトガル語,育休と有休,E-Mail,Question10.csv,60
2025/10/15,求職・雇用,ポルトガル語,派遣会社について,電話,Question10.csv,75
2025/10/28,求職・雇用,タガログ語,失業手当の申請,電話,Question10.csv,139
2025/10/31,求職・雇用,日本語（ペルー）,有給のことについて,電話,Question10.csv,152
2025/10/31,求職・雇用,ポルトガル語,ポルトガル語通訳の依頼,電話,Question10.csv,153
2025/11/5,求職・雇用,ポルトガル語,再就職活動について,電話,Question11.csv,17
2025/11/10,求職・雇用,タガログ語,内職について,電話,Question11.csv,38
2025/11/13,求職・雇用,ポルトガル語,再就職への不安,電話,Question11.csv,59
2025/11/25,求職・雇用,日本語（日本）,当センターでの求人対応,電話,Question11.csv,106
2025/11/25,求職・雇用,ポルトガル語,デビットカードについて,電話,Question11.csv,108
2025/11/25,求職・雇用,ポルトガル語,会社員としての悩み,電話,Question11.csv,112
2025/12/8,求職・雇用,日本語（その他）,募集シートについて,電話,Question12.csv,35
2025/12/17,求職・雇用,スペイン語,失業保険について,電話,Question12.csv,70
2025/12/26,求職・雇用,ポルトガル語,冷凍食品の販売について,電話,Question12.csv,116
