相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/3,社会保険,ポルトガル語,傷病手当について,電話,Question04.csv,13
2025/4/8,社会保険,ポルトガル語,社会保険料の日割り計算について,電話,Question04.csv,26
2025/4/16,社会保険,ポルトガル語,傷病手当の入金,電話,Question04.csv,68
2025/4/28,社会保険,ポルトガル語,傷病手当金の受給,電話,Question04.csv,127
2025/4/28,社会保険,スペイン語,協会けんぽの手紙について,来所,Question04.csv,130
2025/5/7,社会保険,ポルトガル語,社会保険料返納について,電話,Question05.csv,23
2025/5/22,社会保険,ポルトガル語,保険料について,電話,Question05.csv,91
2025/5/23,社会保険,ポルトガル語,マイナ保険証について,電話,Question05.csv,95
2025/6/12,社会保険,ポルトガル語,相談対応の可否について,電話,Question06.csv,50
2025/6/17,社会保険,ポルトガル語,傷病手当,電話,Question06.csv,74
2025/6/27,社会保険,タガログ語,傷病手当,電話,Question06.csv,115
2025/6/30,社会保険,ポルトガル語,労災と傷病手当について,電話,Question06.csv,121
2025/6/30,社会保険,ポルトガル語,傷病手当について,電話,Question06.csv,122
2025/7/16,社会保険,ポルトガル語,療養の不支給について,電話,Question07.csv,73
2025/7/16,社会保険,ポルトガル語,傷病手当の申請について,電話,Question07.csv,86
2025/7/23,社会保険,ポルトガル語,出産手当金について,電話,Question07.csv,99
2025/7/28,社会保険,ポルトガル語,出産手当金,電話,Question07.csv,112
2025/7/29,社会保険,ポルトガル語,出産手当金,電話,Question07.csv,122
2025/8/6,社会保険,ポルトガル語,社会保険の扶養について,電話,Question08.csv,13
2025/8/6,社会保険,ポルトガル語,保険証について,電話,Question08.csv,17
2025/8/13,社会保険,ポルトガル語,傷病手当について,電話,Question08.csv,29
2025/8/19,社会保険,ポルトガル語,医療保険について,電話,Question08.csv,48
2025/8/20,社会保険,ポルトガル語,扶養について,電話,Question08.csv,51
2025/8/21,社会保険,ポルトガル語,傷病手当金について,電話,Question08.csv,58
2025/8/22,社会保険,ポルトガル語,傷病手当の申請について,電話,Question08.csv,62
2025/8/28,社会保険,ポルトガル語,傷病手当金の制度について,電話,Question08.csv,91
2025/9/1,社会保険,ポルトガル語,傷病手当について,電話,Question09.csv,1
2025/9/1,社会保険,ポルトガル語,傷病手当について,電話,Question09.csv,5
2025/9/2,社会保険,ポルトガル語,扶養について,電話,Question09.csv,11
2025/9/2,社会保険,ポルトガル語,傷病手当について,電話,Question09.csv,12
2025/9/2,社会保険,ポルトガル語,制度について,電話,Question09.csv,18
2025/9/5,社会保険,ポルトガル語,傷病手当申請について,電話,Question09.csv,34
2025/9/5,社会保険,ポルトガル語,傷病手当金申請について,電話,Question09.csv,35
2025/9/8,社会保険,ポルトガル語,傷病手当の申請書,電話,Question09.csv,44
2025/9/19,社会保険,ポルトガル語,傷病手当申請について,電話,Question09.csv,86
2025/9/22,社会保険,ポルトガル語,郵送物について,電話,Question09.csv,94
2025/9/26,社会保険,ポルトガル語,顔面マヒで就労できないことについて,電話,Question09.csv,110
2025/9/26,社会保険,ポルトガル語,傷病手当について,電話,Question09.csv,111
2025/9/29,社会保険,ポルトガル語,資格証明書と傷病手当の申請,電話,Question09.csv,119
2025/9/30,社会保険,スペイン語,社会保険の加入について,電話,Question09.csv,122
2025/10/1,社会保険,ポルトガル語,傷病手当金申請について,電話,Question10.csv,2
2025/10/2,社会保険,ポルトガル語,社会保険の喪失と扶養について,電話,Question10.csv,8
2025/10/2,社会保険,ポルトガル語,健康保険が無効とされている,電話,Question10.csv,12
2025/10/3,社会保険,ポルトガル語,傷病手当の給付,電話,Question10.csv,17
2025/10/7,社会保険,スペイン語,社会保険と年金について,電話,Question10.csv,42
2025/10/16,社会保険,タガログ語,イエローカード（社会保険）について,電話,Question10.csv,87
2025/10/29,社会保険,ポルトガル語,診察の支払について,電話,Question10.csv,145
2025/11/4,社会保険,ポルトガル語,傷病手当の請求書,電話,Question11.csv,3
2025/11/4,社会保険,タガログ語,予期せぬ保険請求について,電話,Question11.csv,4
2025/11/4,社会保険,タガログ語,社会保険料について,電話,Question11.csv,5
2025/11/7,社会保険,日本語（ベトナム）,扶養家族について,電話,Question11.csv,35
2025/11/27,社会保険,日本語（ブラジル）,傷病手当について,電話,Question11.csv,126
2025/11/27,社会保険,ポルトガル語,健康保険証について,電話,Question11.csv,129
2025/12/3,社会保険,ベトナム語,傷病手当金支給申請の手続き,電話,Question12.csv,18
2025/12/4,社会保険,スペイン語,特定保健指導について,来所,Question12.csv,24
2025/12/5,社会保険,ポルトガル語,資格確認書について,電話,Question12.csv,26
2025/12/8,社会保険,ポルトガル語,傷病手当の請求書,電話,Question12.csv,28
2025/12/10,社会保険,ポルトガル語,傷病手当金について,電話,Question12.csv,44
2025/12/17,社会保険,スペイン語,社会保険料について,電話,Question12.csv,76
2025/12/22,社会保険,ポルトガル語,傷病手当について,電話,Question12.csv,97
2025/12/24,社会保険,ポルトガル語,傷病手当金申請について,電話,Question12.csv,107
2025/12/26,社会保険,スペイン語,年金について,電話,Question12.csv,119
