相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/3,税金,ポルトガル語,税務署の所在地について,電話,Question04.csv,11
2025/4/7,税金,"日本語
（ペルー）",税金の相談について,電話,Question04.csv,20
2025/4/11,税金,タガログ語,低所得世帯に関する問い合わせ,電話,Question04.csv,44
2025/4/14,税金,タガログ語,税金についての情報,電話,Question04.csv,52
2025/4/16,税金,スペイン語,税金の支払い,電話,Question04.csv,67
2025/4/17,税金,英語,ビザ申請用の納税課税証明書,電話,Question04.csv,83
2025/4/18,税金,ポルトガル語,県民税の支払いについて,電話,Question04.csv,85
2025/5/14,税金,ポルトガル語,固定資産税,電話,Question05.csv,53
2025/5/14,税金,ポルトガル語,普通自動車税の分割払いについて,電話,Question05.csv,57
2025/5/19,税金,日本語（ベトナム）,課税・納税証明書,電話,Question05.csv,72
2025/5/22,税金,英語,納税課税証明書の発行,電話,Question05.csv,86
2025/5/22,税金,スペイン語,国保税の滞納について,電話,Question05.csv,90
2025/5/28,税金,タガログ語,書類の確認,電話,Question05.csv,120
2025/6/2,税金,タガログ語,税金の支払,電話,Question06.csv,1
2025/6/13,税金,英語,住民税の支払い,E-Mail,Question06.csv,59
2025/6/16,税金,ポルトガル語,マル福のための所得申告,電話,Question06.csv,63
2025/6/18,税金,タガログ語,非課税世帯の確認,来所,Question06.csv,82
2025/6/19,税金,スペイン語,窓口で通訳について,電話,Question06.csv,87
2025/6/23,税金,スペイン語,介護保険料の支払い,来所,Question06.csv,96
2025/6/25,税金,スペイン語,国民健康保険料について,来所,Question06.csv,103
2025/6/26,税金,スペイン語,国民保険料について,来所,Question06.csv,108
2025/7/4,税金,日本語（ベトナム）,非課税証明書について,電話,Question07.csv,16
2025/7/8,税金,ポルトガル語,税金申告について,電話,Question07.csv,39
2025/7/16,税金,ポルトガル語,国民健康保険について,電話,Question07.csv,87
2025/7/23,税金,日本語（ベトナム）,非課税証明書の交付について通訳依頼,電話,Question07.csv,102
2025/7/29,税金,日本語（ベトナム）,課税と納税証明書の発行について通訳依頼,電話,Question07.csv,125
2025/7/31,税金,ポルトガル語,扶養控除の要件について,電話,Question07.csv,134
2025/8/6,税金,日本語（ブラジル）,国民保険の加入について,電話,Question08.csv,14
2025/8/15,税金,日本語（ベトナム）,保険料と国民保険の入りなおすの手続きについてベトナム語通訳依頼,電話,Question08.csv,40
2025/8/28,税金,スペイン語,出国前の手続きについて,E-Mail,Question08.csv,84
2025/9/3,税金,タガログ語,税還付に関する相談,電話,Question09.csv,23
2025/9/8,税金,日本語（ブラジル）,国保料の返金について,電話,Question09.csv,46
2025/9/9,税金,日本語（ブラジル）,国民保険加入について,電話,Question09.csv,55
2025/9/24,税金,日本語（ブラジル）,国民健康保険について,電話,Question09.csv,99
2025/9/24,税金,日本語（ブラジル）,住民税や固定資産税について,電話,Question09.csv,100
2025/10/3,税金,ポルトガル語,自動車税について,電話,Question10.csv,18
2025/10/8,税金,ポルトガル語,年末調整について,来所,Question10.csv,48
2025/10/10,税金,タガログ語,府民税の支払,来所,Question10.csv,66
2025/10/15,税金,スペイン語,住民税について,電話,Question10.csv,79
2025/10/27,税金,タガログ語,住宅ローン控除について,来所,Question10.csv,122
2025/10/27,税金,タガログ語,高額療養費支給について,電話,Question10.csv,126
2025/10/29,税金,英語,日本の税制について,電話,Question10.csv,141
2025/11/10,税金,タガログ語,健康保険制度の変更,電話,Question11.csv,37
2025/11/11,税金,スペイン語,自動車税について,電話,Question11.csv,49
2025/11/19,税金,ポルトガル語,税金の支払いについて,電話,Question11.csv,87
2025/11/25,税金,ポルトガル語,税金について,電話,Question11.csv,113
2025/11/27,税金,日本語（ブラジル）,市民税について,電話,Question11.csv,128
2025/11/27,税金,日本語（ブラジル）,市県民税の支払いについて,来所,Question11.csv,135
2025/12/1,税金,ポルトガル語,自動車税,電話,Question12.csv,8
2025/12/12,税金,タガログ語,納税課税証明書,E-Mail,Question12.csv,57
2025/12/15,税金,タガログ語,納税課税証明書,E-Mail,Question12.csv,62
2025/12/17,税金,スペイン語,税金について,電話,Question12.csv,77
2025/12/19,税金,ポルトガル語,年末調整について,電話,Question12.csv,84
2025/12/24,税金,日本語（ネパール）,国民健康保険料の納付について,電話,Question12.csv,108
2025/12/26,税金,スペイン語,自動車税と固定資産税について,電話,Question12.csv,120
