相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/11,通訳・翻訳,タガログ語,書類の翻訳について,電話,Question04.csv,45
2025/4/15,通訳・翻訳,ポルトガル語,警察での説明,電話,Question04.csv,66
2025/4/24,通訳・翻訳,英語,通訳の募集,電話,Question04.csv,113
2025/4/28,通訳・翻訳,タガログ語,付き添い通訳について,来所,Question04.csv,133
2025/6/5,通訳・翻訳,日本語（ブラジル）,用件について,電話,Question06.csv,24
2025/6/17,通訳・翻訳,日本語（中国）,中国語の通訳を紹介してほしい,電話,Question06.csv,76
2025/7/16,通訳・翻訳,タガログ語,翻訳について,来所,Question07.csv,76
2025/7/16,通訳・翻訳,タガログ語,英語の翻訳について,電話,Question07.csv,81
2025/7/16,通訳・翻訳,日本語（フィリピン）,タガログ語通訳の依頼。,電話,Question07.csv,82
2025/8/5,通訳・翻訳,日本語（ベトナム）,弁護士面談通訳,電話,Question08.csv,9
2025/8/20,通訳・翻訳,タガログ語,書類の翻訳について,電話,Question08.csv,54
2025/8/22,通訳・翻訳,日本語（その他）,就業規則の翻訳,電話,Question08.csv,66
2025/8/26,通訳・翻訳,日本語（ベトナム）,ベトナム語での通訳,電話,Question08.csv,76
2025/10/3,通訳・翻訳,日本語（その他）,結婚証明書の翻訳,電話,Question10.csv,16
2025/12/8,通訳・翻訳,日本語（ブラジル）,学童保育所の便り,電話,Question12.csv,34
