相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/3,雇労（その他）,ポルトガル語,職場での待遇について,電話,Question04.csv,12
2025/4/3,雇労（その他）,ポルトガル語,労働契約について,電話,Question04.csv,14
2025/4/7,雇労（その他）,スペイン語,給料未払いについて,電話,Question04.csv,19
2025/4/17,雇労（その他）,ポルトガル語,退職後の掛け金返済について,電話,Question04.csv,82
2025/4/22,雇労（その他）,タガログ語,労働者と派遣会社の間の誤解,電話,Question04.csv,99
2025/4/23,雇労（その他）,ポルトガル語,労働基準監督署の連絡先について,電話,Question04.csv,107
2025/5/1,雇労（その他）,ポルトガル語,有休休暇について,電話,Question05.csv,7
2025/5/9,雇労（その他）,ポルトガル語,退職の際の疑問について,電話,Question05.csv,38
2025/5/13,雇労（その他）,ポルトガル語,彦根労働基準監督署の連絡先について,電話,Question05.csv,47
2025/5/20,雇労（その他）,日本語（中国）,会社からバイクの運転を禁止されたことについて,電話,Question05.csv,76
2025/5/21,雇労（その他）,ポルトガル語,職場での悩みについて,電話,Question05.csv,85
2025/5/27,雇労（その他）,スペイン語,自主退職を促された,電話,Question05.csv,113
2025/5/28,雇労（その他）,スペイン語,解雇について,電話,Question05.csv,115
2025/5/30,雇労（その他）,スペイン語,会社とのやりとりについて,来所,Question05.csv,132
2025/6/2,雇労（その他）,スペイン語,職場内での嫌がらせ,電話,Question06.csv,5
2025/6/4,雇労（その他）,日本語（ペルー）,職場のいじめ,電話,Question06.csv,10
2025/6/16,雇労（その他）,ベトナム語,労災補償と後遺障害と育児休業について,電話,Question06.csv,65
2025/6/20,雇労（その他）,スペイン語,自己都合退職について,電話,Question06.csv,93
2025/6/25,雇労（その他）,スペイン語,賃金払いについて,電話,Question06.csv,104
2025/6/27,雇労（その他）,スペイン語,給料の支払いについて,電話,Question06.csv,113
2025/6/30,雇労（その他）,ポルトガル語,解雇の理由について,電話,Question06.csv,125
2025/6/30,雇労（その他）,ポルトガル語,労働の相談について,電話,Question06.csv,127
2025/7/7,雇労（その他）,ポルトガル語,入管手続きのアルバイト,電話,Question07.csv,30
2025/7/7,雇労（その他）,ポルトガル語,労基の連絡先,電話,Question07.csv,32
2025/7/14,雇労（その他）,スペイン語,訪問の用件について,電話,Question07.csv,69
2025/7/28,雇労（その他）,ポルトガル語,妊娠による解雇,電話,Question07.csv,110
2025/7/30,雇労（その他）,日本語（ネパール）,雇用問題について,電話,Question07.csv,126
2025/7/31,雇労（その他）,英語,雇用問題,電話,Question07.csv,133
2025/8/14,雇労（その他）,日本語（ベトナム）,退職することについてベトナム語通訳依頼,電話,Question08.csv,34
