相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/4/16,ＤＶ,タガログ語,娘はDV被害者じゃないか？,電話,Question04.csv,74
2025/4/18,ＤＶ,ポルトガル語,保護されている妻と子どもたちについて,電話,Question04.csv,86
2025/4/25,ＤＶ,ポルトガル語,弁護士相談について,電話,Question04.csv,116
2025/5/7,ＤＶ,ポルトガル語,妻子の保護機関の連絡,電話,Question05.csv,21
2025/5/16,ＤＶ,ポルトガル語,妻子のパスポート,電話,Question05.csv,63
2025/5/28,ＤＶ,日本語（ブラジル）,DVに関する相談について,電話,Question05.csv,121
2025/5/30,ＤＶ,ポルトガル語,子供に会いたい,電話,Question05.csv,133
2025/6/24,ＤＶ,ポルトガル語,弁護士相談について,電話,Question06.csv,99
2025/6/26,ＤＶ,ポルトガル語,妻に電話を,電話,Question06.csv,106
2025/7/16,ＤＶ,ポルトガル語,悩み事について,電話,Question07.csv,85
2025/7/28,ＤＶ,ポルトガル語,家族を探してほしい,電話,Question07.csv,111
2025/7/30,ＤＶ,ポルトガル語,妻と子どもたちと帰国について,電話,Question07.csv,127
2025/9/3,ＤＶ,タガログ語,DV 被害者についての相談,電話,Question09.csv,22
2025/9/3,ＤＶ,ポルトガル語,妻子に再会したい,電話,Question09.csv,27
2025/9/16,ＤＶ,タガログ語,DV被害者に対しての相談,来所,Question09.csv,76
2025/9/24,ＤＶ,ポルトガル語,夫婦の話し合いの仲介について,電話,Question09.csv,102
2025/9/26,ＤＶ,ポルトガル語,妻に連絡とることについて,電話,Question09.csv,112
2025/10/10,ＤＶ,ポルトガル語,家族の行方,電話,Question10.csv,63
2025/10/14,ＤＶ,ポルトガル語,妻子について,電話,Question10.csv,73
2025/10/29,ＤＶ,ポルトガル語,在留資格更新について,電話,Question10.csv,143
2025/11/10,ＤＶ,スペイン語,ネグレクトなどについて,電話,Question11.csv,42
2025/11/13,ＤＶ,ポルトガル語,弁護士からの連絡,電話,Question11.csv,58
2025/12/1,ＤＶ,タガログ語,DV 被害者の相談,電話,Question12.csv,4
2025/12/17,ＤＶ,タガログ語,入国管理局に繋いでほしい,電話,Question12.csv,72
2025/12/24,ＤＶ,ポルトガル語,保護について,電話,Question12.csv,106
